POP_SIZE,max_gen,elitism,mut_prob,xo_prob,mutation,crossover,selection_algorithm,best_fitness,timestamp
50,100,True,0.1,0.7,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.22857142857142845,2025-05-17 11:56:38.482848
50,100,True,0.1,0.7,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.16659862556700822,2025-05-17 11:56:55.089784
50,100,True,0.1,0.7,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.16659862556700822,2025-05-17 11:57:00.171019
50,100,True,0.1,0.7,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:57:17.319541
50,100,True,0.1,0.7,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:57:22.498462
50,100,True,0.1,0.7,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:57:39.325700
50,100,True,0.1,0.7,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:57:44.197811
50,100,True,0.1,0.8,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:58:01.121609
50,100,True,0.1,0.8,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:58:06.040742
50,100,True,0.1,0.8,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:58:23.039110
50,100,True,0.1,0.8,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:58:28.263824
50,100,True,0.1,0.8,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.1895214165917356,2025-05-17 11:58:45.128383
50,100,True,0.1,0.8,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.22857142857142707,2025-05-17 11:58:50.175134
